id,nom,sexe,date,ville,pays,profession,categorie,liste,bloc
547d62a912bdaa5876a2b2f6,Souad Bayouli,F,1965-02-23 0:00:00,,Tunisie,Enseignante du secondaire,Enseignant du secondaire,Front Populaire,Front Populaire
547d62a912bdaa5876a2b2f8,Mbarka Aouania ,F,1967-07-08 0:00:00,"Sidi Ali Ben Aoun, Sidi Bouzid",Tunisie,Institutrice,Instituteur enseignement de base,Front Populaire,Front Populaire
547d62a912bdaa5876a2b2fa,Jilani Hammami,H,1957-08-07 0:00:00,,Tunisie,Fonctionnaire dans une entreprise,Fonctionnaire dans le secteur privé,Front Populaire,Front Populaire
547d62a912bdaa5876a2b2fc,Ahmed Seddik,H,1963-11-21 0:00:00,,Tunisie,Avocat,Avocat,Front Populaire,Front Populaire
547d62a912bdaa5876a2b2fe,Faycel Tebini,H,1966-02-17 0:00:00,,Tunisie,Agent déclarant en douane,Fonctionnaire dans le secteur privé,La voix des agriculteurs,Bloc Social-Démocrate
547d62a912bdaa5876a2b300,Riadh Jaidane,H,1972-01-17 0:00:00,,Tunisie,Avocat,Avocat,Liste de l'appel des tunisiens à l'étranger,"Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger"
547d62a912bdaa5876a2b302,Abderrazak Chraiet,H,1937-04-16 0:00:00,,Tunisie,Président Directeur Général d'une société,Chef d'entreprise,"Liste indépendante ""Majd Al Jarid""",Aucun bloc
547d62a912bdaa5876a2b304,Adnane Hajji,H,1958-10-25 0:00:00,"Redeyef, Gafsa",Tunisie,Maitre d'application,Instituteur enseignement de base,"Liste indépendante ""Rad El Itibar""",Bloc Social-Démocrate
547d62a912bdaa5876a2b306,Hmed Khaskhoussi,H,1947-12-16 0:00:00,"Meknassy, Sidi Bouzid",Tunisie,Enseignant universitaire,Enseignant universitaire,Mouvement des Démocrates Socialistes,Bloc Social-Démocrate
547d62a912bdaa5876a2b308,Ridha Dellai,H,1962-12-23 0:00:00,,Tunisie,Enseignant du secondaire,Enseignant du secondaire,Mouvement du Peuple,Aucun bloc
547d62a912bdaa5876a2b30a,Zouhair Maghzaoui,H,1965-07-26 0:00:00,,Tunisie,Enseignant du secondaire,Enseignant du secondaire,Mouvement du Peuple,Aucun bloc
547d62a912bdaa5876a2b30c,Salem Labiadh,H,1964-03-14 0:00:00,,Tunisie,Enseignant universitaire,Enseignant universitaire,Mouvement du Peuple,Aucun bloc
547d62a912bdaa5876a2b30e,Ramzi Ben Fraj,H,1968-09-29 0:00:00,,Tunisie,Avocat,Avocat,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b310,Sahbi Atig,H,1959-08-14 0:00:00,,Tunisie,Chercheur universitaire,Chercheur universitaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b311,Jamila Debbech,F,1968-08-14 0:00:00,Medenine,Tunisie,Chef de service à la Caisse Nationale d'Assurance Maladie,Cadre dans la fonction publique,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b313,Sami Fetnassi,H,1964-10-22 0:00:00,Beja,Tunisie,Directeur financier et administratif d'une clinique privée,Cadre supérieur dans le secteur privé,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b315,Noureddine Bhiri,H,1958-07-10 0:00:00,"Jbeniana, Sfax",Tunisie,Avocat auprès de la cour de cassation,Avocat,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b316,Hela Hammi,F,1964-11-25 0:00:00,Tunis,Tunisie,Directrice adjointe dans une banque,Cadre supérieur dans le secteur bancaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b317,Mohamed Mahjoub,H,1956-08-24 0:00:00,,Tunisie,Médecin,Médecin ,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b319,Bechir Ellazzem,H,1959-12-08 0:00:00,Bizerte ,Tunisie,Pédiatre ,Médecin ,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b31a,Emna Ben Hmayed,F,1980-07-10 0:00:00,,Tunisie,Enseignante du secondaire,Enseignant du secondaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b31b,Samir Dilou,H,1966-12-30 0:00:00,Tunis,Tunisie,Avocat,Avocat,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b31d,Sayida Ounissi,F,1987-02-03 0:00:00,Tunis,Tunisie,Etudiante,Chercheur universitaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b31e,Houcine Jaziri,H,1968-07-02 0:00:00,Zarzis,Tunisie,Fondateur et dirigeant d'un institut d'enseignement de la langue arabe et de la culture arabo-islamique,Chef d'entreprise,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b320,Neji Jmal,H,1966-05-21 0:00:00,Sousse,Tunisie,Directeur d'une école privée,Fonctionnaire dans le secteur privé,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b321,Dalila Babba,F,1966-04-29 0:00:00,,Tunisie,Membre de l'Assemblée Nationale Constituante,Non catégorisé,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b323,Mohamed Zrig,H,1957-08-29 0:00:00,,Tunisie,Chef de département dans une société,Cadre dans le secteur privé,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b324,Amal Souid,F,1988-06-15 0:00:00,Gabès,Tunisie,Etudiante,Etudiant,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b325,Habib Khedher,H,1971-01-08 0:00:00,"Hamma, Gabès",Tunisie,Avocat ,Avocat,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b326,Radhia Toumi,F,1982-10-27 0:00:00,Gabès,Tunisie,Médecin généraliste,Médecin ,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b328,Mohamed Mohsen Soudani,H,1965-06-17 0:00:00,,Tunisie,Enseignant agrégé du secondaire,Enseignant du secondaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b329,Zeineb Brahmi,F,1984-12-07 0:00:00,"El Mdhilla, Gafsa",Tunisie,Avocate,Avocat,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b32b,Imen Ben Mhamed,F,1984-11-13 0:00:00,Kebili,Tunisie,Diplômée de l'enseignement supérieur,Représentant d'association,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b32c,Oussama Al Saghir,H,1983-07-20 0:00:00,Tunis,Tunisie,Diplômé de l'enseignement supérieur,Représentant d'association,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b32e,Ahmed Mechergui,H,1969-08-04 0:00:00,Jendouba,Tunisie,Enseignant du secondaire,Enseignant du secondaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b32f,Sana Mersni,F,1984-12-01 0:00:00,Jendouba,Tunisie,Avocate,Avocat,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b331,Mahmoud Gouiaa,H,1965-08-18 0:00:00,Kairouan,Tunisie,Enseignant du secondaire,Enseignant du secondaire,Mouvement Ennahdha,Mouvement Ennahdha
